Geography;Population Density;year;code;Healthspd;Government Spending Score;Population;Obesity;continent;date;total_cases;total_deaths;aged_65_older;total_cases_per_million;total_deaths_per_million;stringency_index;Rural Population;institutional_index;percentage_rural_pop;institutional_index_new;turismo
Serbia;79,6;2019;SRB;386,5;45,1;6963800;24,7;Europe;30/11/2020;175438;1604;17,366;25395,529;232,187;60,19;3045100;-0,574538853;0,437275625;0,440011017;1847
Slovakia;113,4;2019;SVK;1498,3;46,1;5450400;23,7;Europe;30/11/2020;105929;839;15,07;19398,336;153,643;69,44;2514100;1,176601481;0,461268898;0,654497745;0
Slovenia;103,3;2019;SVN;1739,1;38,3;2080900;23,6;Europe;30/11/2020;75814;1435;19,062;36471,43;690,328;87,04;939900;2,058310928;0,451679562;0,762493073;4702
Ukraine;72,5;2019;UKR;114,6;46,9;41983600;26,8;Europe;30/11/2020;752343;12731;16,462;17308,443;292,89;61,57;12963500;-1,723948465;0,308775331;0,299226694;13710
Argentina;16,3;2019;ARG;185,7;49,5;44539700;30;South America;30/11/2020;1424533;38730;11,198;31235,77;849,234;79,17;3435200;-0,64559575;0,077126698;0,431307682;7399
Barbados;667,5;2019;BRB;432;65;287000;25,9;North America;30/11/2020;276;7;14,952;959,306;24,33;40,74;197600;1,537526992;0,688501742;0,698705357;966
Belize;17,1;2019;BLZ;127,4;65,9;390400;24;North America;30/11/2020;5854;148;3,853;14457,355;365,509;72,22;211300;-1,096258423;0,541239754;0,376108701;1674
Bolivia;10,6;2019;BOL;108,9;49,3;11513100;20;South America;30/11/2020;144708;8957;6,704;12229,256;756,955;84,26;3480100;-2,187179938;0,302273063;0,242488235;1239
Brazil;25,1;2019;BRA;148,8;55,2;210147100;23,8;South America;30/11/2020;6335878;173120;8,552;29607,814;808,997;60,65;29035100;-0,880944181;0,138165599;0,402481257;6353
Chile;25,5;2019;CHL;691,1;81;18952000;30,4;South America;30/11/2020;551743;15410;11,087;28718,124;802,088;76,39;1866000;1,912972434;0,098459266;0,744691429;5431
Colombia;45,4;2019;COL;218,3;75;50339400;23,4;South America;30/11/2020;1316806;36766;7,646;25685,836;717,164;60,19;9512100;-0,712316272;0,188959344;0,423135483;4529
Costa Rica;98,8;2019;CRI;126,4;88,4;5043300;27,8;North America;30/11/2020;139638;1726;9,468;27171,932;335,86;55,56;1015900;1,13774111;0,201435568;0,64973797;3366
