Geography;vae;pve;gee;rqe;rle;cce;Population Density;year;code;health_sp_2019;health_sp_2018;health_sp_2017;government_spending_score;population;obesity;continent;date;total_cases;total_deaths;aged_65_older;total_cases_per_million;total_deaths_per_million;stringency_index;gdp_per_capita;rural_population;tourism;unemployment;idh;escolaridade;institutional_index;percentage_rural_pop;sum_cont_stringency;count_cont_stringency;avg_stringency_index;institutional_index_new
USA;0,903805017;0,134975299;1,48884511;1,345472336;1,461360335;1,215634108;36,1;2019;USA;5442,3;5200,1;4939,5;57,1;330123100;39,1;North America;2020-11-30;13681218;270827;15,413;41095,219;813,502;75,46;54225,446;58417100;166009000;3,67;0,926;13,4;2,3579608;0,176955505;751,84;13;55,3749;0,803500465
Austria;1,338795304;0,916747928;1,527736902;1,459237099;1,904161811;1,557737708;107,4;2019;AUT;4225,4;4073,5;3934,4;24,5;8858800;23,2;Europe;2020-11-30;282456;3184;19,202;31234,519;352,093;82,41;45436,686;3674200;31884000;4,49;0,922;12,1;3,200866934;0,414751434;2018,06;32;52,7317284;0,906757895
Belgium;1,310243368;0,473777533;1,148131728;1,291109085;1,374089956;1,485346675;377,5;2019;BEL;3645,9;3549,6;3428,7;15,2;11431400;25,6;Europe;2020-11-30;577345;16645;18,571;49632,774;1430,925;63,89;42658,576;224000;9343000;5,36;0,931;11,8;2,540874868;0,01959515;2018,06;32;52,7317284;0,825907749
Cyprus;1,04861331;0,557369947;0,99218154;1,012434125;0,760008574;0,630676806;129,7;2019;CYP;582,9;612;492,6;55,2;1198600;23,7;Europe;2020-11-30;10383;48;13,416;11588,105;53,571;65,74;32415,132;397900;4117000;7,07;0,887;12,1;1,632397805;0,331970632;2018,06;32;52,7317284;0,714617769
Denmark;1,545237541;0,995625198;1,910211086;1,565141201;1,876799226;2,161118507;145,2;2019;DNK;4942,5;4919,9;4827,4;14,4;5806100;22,3;Europe;2020-11-30;81002;837;19,677;13933,905;143,98;45,37;46682,515;697100;32903000;5,02;0,94;12,6;3,770421597;0,120063382;2018,06;32;52,7317284;0,976529306
Finland;1,56490612;0,851656735;2,006594181;1,851163507;2,058016062;2,153199673;18,2;2019;FIN;3490,8;3401,1;3287,5;7,2;5517900;26,1;Europe;2020-11-30;24912;399;21,228;4489,975;71,913;46,76;40585,721;802800;3290000;6,7;0,938;12,4;3,962016449;0,145490132;2018,06;32;52,7317284;1
France;1,116437674;0,29938224;1,372140288;1,440411925;1,407694578;1,283251286;118,7;2019;FRA;3361,7;3284,2;3254,6;3,9;64988200;24,4;Europe;2020-11-30;2276830;52818;19,718;33698,738;781,745;75;38605,671;12536400;211998000;8,44;0,901;11,5;2,488251768;0,192902712;2018,06;32;52,7317284;0,81946133
Germany;1,355591178;0,574308574;1,531162262;1,723189831;1,620687485;1,903284311;237,6;2019;DEU;3477,5;3337,2;3221,3;42,3;83019200;27;Europe;2020-11-30;1069912;16694;21,453;12752,157;198,974;67,59;45229,245;18775000;39563000;3,14;0,947;14,1;3,229026985;0,226152504;2018,06;32;52,7317284;0,910207549
Greece;0,812400281;0,181738213;0,349024355;0,52993691;0,183785155;0,043117832;83,2;2019;GRC;1054,6;1042;1007,6;23,3;10724600;28,6;Europe;2020-11-30;105271;2406;20,396;10150,763;231,999;78,7;24574,382;2210800;34005000;17,31;0,888;10,8;0,425682602;0,206142886;2018,06;32;52,7317284;0,566793113
Iceland;1,303974032;1,639300942;1,517939806;1,373100042;1,767259002;1,708176136;3,4;2019;ISL;5397,4;5075;4534,6;44;339000;24,2;Europe;2020-11-30;5392;26;14,431;15703,635;75,722;52,78;46482,958;20800;2202000;3,51;0,949;12,4;3,404493018;0,061356932;2018,06;32;52,7317284;0,931702435
