Geography;vae;pve;gee;rqe;rle;cce;Population Density;year;code;health_sp_2019;health_sp_2018;health_sp_2017;government_spending_score;population;obesity;continent;date;total_cases;total_deaths;aged_65_older;total_cases_per_million;total_deaths_per_million;stringency_index;gdp_per_capita;rural_population;tourism;unemployment;idh;escolaridade;institutional_index;percentage_rural_pop;sum_cont_stringency;count_cont_stringency;avg_stringency_index;institutional_index_new
Belarus;-1,407982826;0,332389116;-0,184353247;-0,543224156;-0,794349313;-0,037544653;46,5;2019;BLR;261;231,3;206,2;41,3;9429300;27,5;Europe;2020-11-30;136647;1158;14,799;14470,923;122,632;37,04;17167,967;2036700;11832000;4,71;0,823;12,3;-1,467791482;0,215996946;2018,06;32;52,7317284;0,33483933
Bulgaria;0,355639696;0,578860998;0,263389736;0,531100154;-0,006326791;-0,139916241;64,5;2019;BGR;489,2;450,1;408,4;63,9;7000000;28,9;Europe;2020-11-30;145300;4035;20,801;21068,185;585,066;53,7;18563,307;1840900;12552000;4,23;0,816;11,8;0,191143478;0,262985714;2018,06;32;52,7317284;0,538061673
Croatia;0,455314666;0,694699943;0,459212482;0,590643287;0,395375401;0,0820259;72;2019;HRV;1035,8;959,5;872,1;33,4;4076200;28,5;Europe;2020-11-30;128442;1786;19,724;31468,102;437,567;47,22;22669,797;1742500;60021000;6,62;0,851;11,3;0,654159376;0,427481478;2018,06;32;52,7317284;0,594781905
Estonia;1,181097984;0,633256257;1,174427509;1,59125483;1,281483412;1,561715364;30,5;2019;EST;1245,4;1155,2;1028;51,1;1324800;24,4;Europe;2020-11-30;12308;118;19,452;9287,739;89,044;43,52;29481,252;418700;6103000;4,45;0,892;12,7;2,67467786;0,316047705;2018,06;32;52,7317284;0,842298842
Georgia;0,16872023;-0,488382638;0,828739882;1,121731877;0,310437739;0,700719237;53,6;2019;GEO;104,7;98,5;92;73,6;3723500;24,8;Asia;2020-11-30;135584;1267;14,864;34068,275;318,36;84,26;9745,079;1539000;7726000;11,57;0,812;12,8;0,758588609;0,4133208;1793,97;30;54,16096386;0,607574663
Hungary;0,343976438;0,772158086;0,496053159;0,6035496;0,526654005;0,060096134;107,1;2019;HUN;738,5;675,9;619,1;31,7;9772800;30,1;Europe;2020-11-30;217122;4823;18,577;22536,677;500,614;72,22;26777,561;2885600;61397000;3,42;0,854;11,9;0,70928574;0,2952685;2018,06;32;52,7317284;0,601534978
Latvia;0,857149065;0,443465203;1,104713202;1,192788959;1,014090538;0,511726141;30,9;2019;LVA;735,6;705,3;567,2;57,1;1920000;26,2;Europe;2020-11-30;17075;206;19,754;9146,012;110,341;53,7;25063,846;604800;8342000;6,31;0,866;12,8;1,702947236;0,315;2018,06;32;52,7317284;0,723260194
Lithuania;0,99637568;0,779812694;1,043069243;1,157464623;1,023039103;0,698381543;44,6;2019;LTU;1215,6;1084,7;954,2;65,1;2794200;29;Europe;2020-11-30;61311;620;19,002;22793,363;230,495;57,41;29524,265;918800;6150000;6,26;0,882;13;1,91788932;0,328823993;2018,06;32;52,7317284;0,749590964
Poland;0,673171759;0,563653529;0,534801006;1,013398647;0,431260377;0,642129183;125,5;2019;POL;729,1;669,6;622,5;48,8;38411100;26,9;Europe;2020-11-30;990811;17150;16,763;26214,012;453,74;75;27216,445;15295000;88515000;3,28;0,88;12,3;1,163199623;0,398192189;2018,06;32;52,7317284;0,657140197
Serbia;-0,046222627;-0,065950118;0,048476152;0,132152274;-0,162167385;-0,389200956;79,6;2019;SRB;386,5;348,1;321,2;45,1;6963800;24,7;Europe;2020-11-30;175438;1604;17,366;25395,529;232,187;60,19;14048,881;3045100;1847000;10,4;0,806;11,1;-0,612563936;0,437275625;2018,06;32;52,7317284;0,439606153
Slovenia;0,979030728;0,807429194;1,081090689;1,008930206;1,118610501;0,922138453;103,3;2019;SVN;1739,1;1658,1;1574,6;38,3;2080900;23,6;Europe;2020-11-30;75814;1435;19,062;36471,43;690,328;87,04;31400,84;939900;4702000;4,45;0,917;12,2;2,021272982;0,451679562;2018,06;32;52,7317284;0,762255637
Ukraine;0,023889901;-1,423575878;-0,297046959;-0,259233117;-0,698275626;-0,755923569;72,5;2019;UKR;114,6;103,2;89,7;46,9;41983600;26,8;Europe;2020-11-30;752343;12731;16,462;17308,443;292,89;61,57;7894,393;12963500;13710000;8,19;0,779;11,3;-1,763109659;0,308775331;2018,06;32;52,7317284;0,298662353
Argentina;0,574006081;-0,091444202;-0,086998366;-0,493229538;-0,430634171;-0,07628762;16,3;2019;ARG;185,7;130,6;106,4;49,5;44539700;30;South America;2020-11-30;1424533;38730;11,198;31235,77;849,234;79,17;18933,907;3435200;7399000;9,84;0,845;9,9;-0,682336537;0,077126698;383,81;6;55,1917757;0,431058891
Barbados;1,102872372;1,049227476;0,631136179;0,412350893;0,357047945;1,196289182;667,5;2019;BRB;432;478,1;521,4;65;287000;25,9;North America;2020-11-30;276;7;14,952;959,306;24,33;40,74;16978,068;197600;966000;10,1;0,814;10,6;1,503194299;0,688501742;751,84;13;55,3749;0,698790121
Belize;0,505617321;0,063038863;-0,67762661;-0,544413209;-0,775239825;-0,195777729;17,1;2019;BLZ;127,4;122,6;126,8;65,9;390400;24;North America;2020-11-30;5854;148;3,853;14457,355;365,509;72,22;7824,362;211300;1674000;6,46;0,716;10,5;-1,132438063;0,541239754;751,84;13;55,3749;0,375920692
Brazil;0,297465771;-0,713788211;-0,186902717;-0,178450927;-0,180635229;-0,336589485;25,1;2019;BRA;148,8;143;135,7;55,2;210147100;23,8;South America;2020-11-30;6335878;173120;8,552;29607,814;808,997;60,65;14103,452;29035100;6353000;11,93;0,765;7,8;-0,918749355;0,138165599;383,81;6;55,1917757;0,40209792
Chile;0,991149783;0,007929708;1,060289383;1,223730803;1,074586272;1,066971183;25,5;2019;CHL;691,1;656,2;621,7;81;18952000;30,4;South America;2020-11-30;551743;15410;11,087;28718,124;802,088;76,39;22767,037;1866000;5431000;7,29;0,851;10,3;1,876013857;0,098459266;383,81;6;55,1917757;0,744461149
Colombia;0,204845503;-0,949501574;0,070711903;0,396563739;-0,416837841;-0,236333862;45,4;2019;COL;218,3;224;179,3;75;50339400;23,4;South America;2020-11-30;1316806;36766;7,646;25685,836;717,164;60,19;13254,949;9512100;4529000;9,96;0,767;8,3;-0,751113847;0,188959344;383,81;6;55,1917757;0,422633554
Costa Rica;1,096335769;0,45229286;0,42255947;0,497144371;0,544549525;0,702769935;98,8;2019;CRI;126,4;105,5;100,3;88,4;5043300;27,8;North America;2020-11-30;139638;1726;9,468;27171,932;335,86;55,56;15524,995;1015900;3366000;11,49;0,81;8,8;1,101127272;0,201435568;751,84;13;55,3749;0,649536229
Dominican Republic;0,177400187;0,005306914;-0,358090967;-0,054175172;-0,347593755;-0,766019583;222,3;2019;DOM;120;113,8;114,1;90,3;10739000;29;North America;2020-11-30;143988;2331;6,981;13145,131;212,805;64,81;14600,861;1954500;7550000;6,36;0,756;7,8;-1,007690217;0,182000186;751,84;13;55,3749;0,391202514
El Salvador;0,114175513;-0,106418103;-0,465418339;0,021559967;-0,762336552;-0,555038691;311,5;2019;SLV;142,5;138,6;131,9;86,3;6453600;23,5;North America;2020-11-30;38941;1114;8,273;5973,92;170,898;47,22;7292,458;1758900;2639000;3,96;0,673;6,9;-1,172463773;0,272545556;751,84;13;55,3749;0,371017474
Guatemala;-0,335470945;-0,573592246;-0,67697829;-0,224676281;-1,052348971;-0,900723279;158,6;2019;GTM;53,2;49,3;46,5;95,6;16991000;19,7;North America;2020-11-30;122062;4171;4,694;6688,377;228,55;49,54;7423,808;8249600;2560000;2,36;0,663;6,5;-1,973004527;0,485527632;751,84;13;55,3749;0,272949876
Jamaica;0,614289105;0,397309542;0,493984103;0,167547449;-0,312455356;-0,072717644;272,2;2019;JAM;169,8;163,6;150;76;2948300;25,7;North America;2020-11-30;10763;257;9,684;3619,686;86,431;71,3;8193,571;1297700;4233000;7,72;0,734;9,8;0,067687716;0,440151952;751,84;13;55,3749;0,522938133
Mexico;0,007971453;-0,836903393;-0,156786993;0,103778169;-0,658005357;-0,826934516;64,7;2019;MEX;113,2;110,1;103,1;78,2;125792600;29,6;North America;2020-11-30;1113543;105940;6,857;8548,472;813,283;71,76;17336,469;24781200;97406000;3,48;0,779;8,6;-1,3755809;0,197000459;751,84;13;55,3749;0,346135282
Nicaragua;-1,095419884;-1,004793763;-0,770851433;-0,688932657;-1,175733209;-1,096854329;54,4;2019;NIC;91,8;90,7;90,4;79,1;6545500;23,2;North America;2020-11-30;5784;160;5,445;862,977;23,872;8,33;5321,444;2699400;1455000;5,14;0,66;6,7;-2,771134684;0,412405469;751,84;13;55,3749;0,175177579
Panama;0,595181704;0,303619921;0,064511821;0,361236662;-0,118743606;-0,582232654;57,2;2019;PAN;309,8;296,4;297,3;85,3;4246400;24,1;North America;2020-11-30;165806;3079;7,918;37841,575;702,714;58,33;22267,037;1356400;2494000;4,74;0,815;10,2;-0,219954966;0,319423512;751,84;13;55,3749;0,487701417
Paraguay;0,058215838;-0,01034852;-0,534344256;-0,204202592;-0,556474924;-0,830877364;17,7;2019;PRY;83,8;74,1;67,5;78,9;7044600;20,5;South America;2020-11-30;82424;1756;6,378;11416,634;243,225;63,89;8827,01;2685500;4368000;6,6;0,728;8,4;-1,314503462;0,38121398;383,81;6;55,1917757;0,353617372
Trinidad and Tobago;0,598372042;0,100833662;0,099170357;-0,151111141;-0,11989715;-0,203445122;271,9;2019;TTO;393,2;390,2;397,2;61,9;1395000;21,4;North America;2020-11-30;6669;120;10,014;4752,119;85,508;65,74;28763,071;653000;480000;3,46;0,796;10,9;-0,309570593;0,468100358;751,84;13;55,3749;0,476723351
Uruguay;1,22734189;1,038879156;0,694980323;0,508236587;0,621715367;1,250806212;19,6;2019;URY;268,6;244;222,3;67,5;3438600;30,1;South America;2020-11-30;5857;77;14,655;1680,558;22,094;43,52;20551,409;157300;3480000;9,35;0,817;8,7;1,753728824;0,045745361;383,81;6;55,1917757;0,729481025
Algeria;-1,056199312;-1,044342637;-0,51639986;-1,303446531;-0,815708339;-0,621148527;18,1;2019;DZA;97,5;98,6;94,1;48,7;43053100;29,1;Africa;2020-11-30;83199;2431;6,211;1864,753;54,486;72,22;13913,839;11666600;2371000;11,81;0,748;8;-2,535166602;0,270981648;1101,38;25;58,95397727;0,204084069
Angola;-0,783532202;-0,358524978;-1,117539883;-0,894037485;-1,054597378;-1,054450631;25,5;2019;AGO;14;13,1;12,6;80,7;31825300;7,5;Africa;2020-11-30;15139;348;2,405;446,136;10,255;57,41;5819,495;10764300;218000;6,93;0,581;5,1;-2,591610491;0,338230904;1101,38;25;58,95397727;0,197169597
Bahrain;-1,429294705;-0,627359509;0,298490554;0,485153407;0,494427353;-0,009647691;1902,3;2019;BHR;1040,3;1021,8;920,5;62,7;1483800;33,5;Asia;2020-11-30;86956;341;2,372;49737,601;195,047;54,63;43290,705;157300;11061000;1,56;0,852;9,4;-0,597245562;0,106011592;1793,97;30;54,16096386;0,44148268
Botswana;0,499961823;1,111055136;0,428257465;0,369284213;0,498901457;0,690525651;4,1;2019;BWA;179,2;178,9;192,1;65,9;2303700;17,2;Africa;2020-11-30;10742;34;3,941;4480,986;14,183;50,93;15807,374;687100;;17,21;0,735;9,3;1,03363144;0,298259322;1101,38;25;58,95397727;0,641267875
Burkina Faso;-0,202751324;-1,302386522;-0,758757353;-0,376548231;-0,426168144;-0,200055182;74,3;2019;BFA;12,4;11,8;9;80;20321400;5,2;Africa;2020-11-30;2886;68;2,409;134,251;3,163;22,22;1703,102;14229000;143000;4,62;0,452;1,5;-1,672780833;0,700197821;1101,38;25;58,95397727;0,309727787
Burundi;-1,72348702;-1,615158916;-1,326444745;-0,94897306;-1,432129264;-1,457848668;449;2019;BDI;7,6;6,6;6,2;83,3;11530600;5;Africa;2020-11-30;688;1;2,562;56,138;0,082;14,81;702,225;9989400;;1,42;0,433;3;-3,828980504;0,866338265;1101,38;25;58,95397727;0,045589674
Central African Republic;-1,219375014;-2,138271809;-1,746932626;-1,372842312;-1,728578329;-1,228475094;7,6;2019;CAF;0,9;0,9;0,7;94,2;4745200;6,9;Africa;2020-11-30;4913;63;3,655;998,58;12,805;20,37;661,24;2763100;;4,04;0,397;4,3;-4,201135963;0,582293686;1101,38;25;58,95397727;0
Equatorial Guinea;-1,878096581;-0,156219751;-1,343200088;-1,519899964;-1,422766328;-1,722102761;48,3;2019;GNQ;15,8;20,6;21,5;67,6;1356000;8,7;Africa;2020-11-30;5153;85;2,846;3554,06;58,625;;22604,873;371200;;7,95;0,592;5,5;-3,739651876;0,273746313;1101,38;25;58,95397727;0,056532583
Ethiopia;-1,064604878;-1,305072784;-0,634380758;-0,888867378;-0,473381251;-0,406142384;99,2;2019;ETH;5,4;4;2,7;90,4;112078700;4,1;Africa;2020-11-30;110074;1706;3,526;933,81;14,473;51,85;1729,927;88290000;812000;2,04;0,485;2,7;-2,259075777;0,787750036;1101,38;25;58,95397727;0,237905663
Ghana;0,557907462;0,134411946;-0,210643277;-0,111198008;0,047335755;-0,098088808;133,7;2019;GHA;20,9;18,3;16,5;82;30417900;10,6;Africa;2020-11-30;51667;323;3,385;1628,224;10,179;38,89;4227,63;13168800;;4,12;0,611;7,1;-0,305071604;0,432929295;1101,38;25;58,95397727;0,477274484
Israel;0,66013968;-0,793371558;1,325324774;1,281104684;1,047763944;0,806350052;418,4;2019;ISR;1729,9;1665;1631,8;52,4;9054000;27,6;Asia;2020-11-30;337191;2872;11,733;38361,728;326,743;65,74;33132,32;679000;4905000;3,8;0,919;13;1,48457947;0,074994478;1793,97;30;54,16096386;0,696509773
Jordan;-0,69459033;-0,261968076;0,09867201;0,034222044;0,144241869;0,10829325;113,4;2019;JOR;125,1;123,9;120,2;73,4;10069800;35,6;Asia;2020-11-30;219430;2751;3,81;21368,15;267,893;81,48;8337,49;885800;5361000;16,85;0,729;10,4;-0,572601612;0,087965997;1793,97;30;54,16096386;0,444501605
Kenya;-0,312648177;-1,101751328;-0,383390188;-0,276963383;-0,454225928;-0,78654933;92,4;2019;KEN;10,4;9,9;9,9;77,8;52574000;6,7;Africa;2020-11-30;83618;1469;2,686;1520,723;26,716;51,85;2993,028;38101600;2049000;2,6;0,601;6,5;-1,724705186;0,724723247;1101,38;25;58,95397727;0,303366966
Kuwait;-0,65525496;0,192640528;0,018212369;0,064949997;0,215660945;-0,132192448;248;2019;KWT;2192,2;1933,2;1749;17,3;4420100;41,4;Asia;2020-11-30;142635;880;2,345;32952,12;203,301;71,3;65530,537;;8565000;2,41;0,806;7,3;-0,501405946;;1793,97;30;54,16096386;0,453223195
Lebanon;-0,515475273;-1,672520995;-0,833451807;-0,425266981;-0,858331859;-1,136340141;670,2;2019;LBN;13,1;14,2;12;75,6;6855700;33,1;Asia;2020-11-30;127944;1018;8,514;18901,041;150,388;87,04;13367,565;770700;1936000;6,04;0,744;8,7;-2,584197616;0,112417404;1793,97;30;54,16096386;0,198077687
Lesotho;0,005987803;-0,421510428;-0,832648158;-0,535386384;-0,380215794;-0,048972048;70;2019;LSO;52,5;48,9;44,6;33;2125300;14,1;Africa;2020-11-30;2109;44;4,506;976,811;20,379;47,22;2851,153;1517800;1142000;23,86;0,527;6,3;-1,300532702;0,714158001;1101,38;25;58,95397727;0,355328814
Liberia;-0,072140813;-0,331433684;-1,37494266;-0,978984058;-0,995262325;-0,89062053;51,3;2019;LBR;20,6;16,3;12,9;62,1;4937400;9,6;Africa;2020-11-30;1598;83;3,057;308,482;16,023;57,41;752,788;2388900;;2,89;0,48;4,7;-2,36419866;0,483837647;1101,38;25;58,95397727;0,225027932
